nodo,x,y
Lousado,486,-857
Fradelos,172,-744
Calendário,486,-531
Gondifelos,172,-432
Outiz,349,-456
Abade de Vermoim,639,-572
Famalicão,527,-416
Louro,428,-311
Nine,428,-137
Requião,705,-432
Castelões,937,-448
Mogege,1021,-371
Novais,904,-572
Riba de Ave,1125,-604
Bairro,953,-712
Cruz,648,-255
Arnoso,623,-96
Telhado,836,-199
Joane,970,-255
Cabeçudos,615,-736
Cabreiros,529,499
Tadim,471,275
Tebosa,541,53
Escudeiros,819,20
Figueiredo,752,221
Esporões,899,261
Aveleda,661,345
Cabreiros,529,499
Maximinos,783,505
Nogueira,963,362
Nogueiró,1055,528
Sobreposta,1309,539
Este,1227,701
Gualtar,994,668
Crespos,1173,915
Palmeira,802,882
Panóias,648,684
Dume,812,683